id,name,isbn,author_ids,publisher_id,date_published,gender
library_book_82713_7ed563bd,101 Dalmatians,0199997322,Justine Korman,Golden Books Publishing Company,06-08-1979,ensayo
library_book_82659_1cd4d23f,11th Hour,0060506075,Bradley Warshauer,Pinnacle Books,16-06-1992,crónica
library_book_83379_874a97f9,"14,000 Things to Be Happy About",1568522606,Barbara Ann Kipfer,Workman Publishing,24-02-2005,carta
library_book_83950_2d9b778d,1st to Die: A Novel,0743203984,James Patterson,Warner Vision,24-06-1953,novela
library_book_83834_112e7747,"20,000 Leagues Under the Sea (Wordsworth Collection)",0393320197,Jules Verne,NTC/Contemporary Publishing Company,17-09-1996,égloga
library_book_83264_dc4cd7e5,2061: Odyssey Three,0143038109,Arthur C. Clarke,Del Rey Books,19-03-2006,égloga
library_book_83992_2927d3ba,253,0399145761,Geoff Ryman,Flamingo,10-01-1957,cuento
library_book_82875_eeac07ca,2nd Chance,0446584150,James Patterson,"Little, Brown",24-06-2005,crónica
library_book_83242_2b45772b,"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",0316911488,Sylvia Nasar,Simon &amp,23-07-1996,égloga
library_book_84054_5b5a8eb1,A Boy Named Phyllis: A Suburban Memoir,0684815109,Frank Decaro,Penguin Books,10-01-1957,ensayo
library_book_82784_7168ff3d,"A Call to Conscience : The Landmark Speeches of Dr. Martin Luther King, Jr.",0771074670,Kris Shepard,Warner Books,08-03-1955,crónica
library_book_83090_3d3fb3ea,A Christmas Story,1559724218,Richard Burton,W W Norton &amp,11-05-2002,novela
library_book_83575_a26d9a0b,A Civil Action,0887841740,JONATHAN HARR,Vintage,18-08-1988,égloga
library_book_83128_e9b94ee9,A Cuisine of Leftovers,1552041778,Jonathan Pearce,Infinity Publishing (PA),26-06-2001,égloga
library_book_84018_bbc82940,A Cup of Tea (Ballantine Reader's Circle),1558746218,Amy Ephron,Ballantine Books,16-02-2007,ensayo
library_book_83117_a15ac6f0,A Dangerous Place: California's Unsettling Fate (Images of America),1567407781,Marc Reisner,Pantheon Books,22-05-1962,ensayo
library_book_82954_1d493a58,A Density of Souls,1575663937,Christopher Rice,Miramax,05-01-2004,novela
library_book_83291_1a3f197c,A Feather on the Breath of God: A Novel,1881320189,Sigrid Nunez,HarperCollins Publishers,10-01-1992,cuento
library_book_83721_79680264,A First Book of Shapes (Preschool Dinosaur Playhouse),0440234743,A. J. Wood,Modern Publishing,27-11-1996,ensayo
library_book_82730_d10033ce,A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),0452264464,Julia Spencer-Fleming,St. Martin's Paperbacks,05-01-1973,cuento
library_book_83640_88c9bf96,A Heartbreaking Work of Staggering Genius,0609804618,Dave Eggers,Vintage Books USA,09-11-1996,carta
library_book_82334_f80b2c5f,A Judgement in Stone,1841721522,Ruth Rendell,Vintage Books USA,17-10-1964,carta
library_book_83616_4e8d28a2,A Killing Gift,1879384493,Leslie Glass,Onyx Books,18-11-1964,novela
library_book_82202_d567161f,A Kiss Remembered,0061076031,Sandra Brown,Warner Books,16-03-1952,égloga
library_book_83461_afc1c663,A Lesson Before Dying (Vintage Contemporaries (Paperback)),0439095026,Ernest J. Gaines,Vintage Books USA,27-04-1954,ensayo
library_book_83155_00ba3d47,A Life God Rewards for Teens (The Breakthrough Series),0689821166,Bruce Wilkinson,Multnomah,02-02-1948,égloga
library_book_83121_dca897cf,A Little Honesty: Trials and Triumphs of a Prince of Balona,0971880107,Jonathan Pearce,1stBooks Library,13-04-1950,ensayo
library_book_83152_9532ee39,A Little Princess,0345402871,Frances Hodgson  Burnett,Pages Publishing Group,25-05-2007,ensayo
library_book_83009_33f238ee,A Man Rides Through (Man Rides Through),0345417623,Stephen Donaldson,Del Rey Books,21-04-1959,crónica
library_book_82389_50b2109c,A Man in Full,0684823802,Tom Wolfe,Farrar Straus &amp,25-06-1993,novela
library_book_82837_69468d85,A Map of the World,0375759778,Jane Hamilton,Doubleday Books,18-08-1981,crónica
library_book_83022_4057a070,A Minor Indiscretion (Red Dress Ink (Paperback)),0425163091,Carol Matthews,Red Dress Ink,06-04-1984,carta
library_book_82327_d7d47866,A Monk Swimming,3404921038,Malachy McCourt,Hyperion,21-05-1988,carta
library_book_83600_9278038a,A Natural History of Love,3442353866,Diane Ackerman,Vintage Books USA,17-11-1951,égloga
library_book_83014_4c8cb98a,A New Germany in a New Europe,3442410665,Todd Herzog,Routledge,18-05-1948,novela
library_book_82392_9fcc8664,A Painted House,3442446937,John Grisham,Dell Publishing Company,21-06-2007,cuento
library_book_83057_57acb867,A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback)),0375406328,Jessica Fletcher,Signet Book,13-05-1969,cuento
library_book_83474_d40ce771,A Prayer for Owen Meany,0446310786,John Irving,Ballantine Books,21-10-1985,cuento
library_book_83067_8b97c72e,A Reporter's Life,0449005615,WALTER CRONKITE,Knopf,20-02-1955,cuento
library_book_84057_767eb366,A Room of One's Own,0060168013,Virginia Woolf,Harcourt,15-07-2007,novela
library_book_83926_faceea8c,A SOCIABLE GOD,038078243X,KEN WILBER,Shambhala,15-06-1967,égloga
library_book_83233_1f63591f,A STRING OF CHANCES (String of Chances Nrf),1503290565,Phyllis Reynolds Naylor,Atheneum,10-02-1994,carta
library_book_2017_d8aa9f7d,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),0139148205,Jack Canfield,Health Communications,20-01-1964,cuento
library_book_82408_8ee00194,A Small Dark Place,0061099686,Martin Schenk,Ballantine Books,05-01-1992,novela
library_book_2059_c11f71d4,A Soldier of the Great War,0553582909,Mark Helprin,Avon Books,16-12-2005,crónica
library_book_83143_c3a2582c,A Spell for Chameleon (Xanth Novels (Paperback)),0671888587,Piers Anthony,Del Rey Books,23-11-1998,égloga
library_book_82605_63e71cd7,"A Suitable Boy : Novel, A",0553582747,Vikram Seth,Perennial,11-05-1986,crónica
library_book_84067_3d78c166,A Supposedly Fun Thing I'll Never Do Again : Essays and Arguments Tag: Author of Infinite Jest,0425182908,David Foster Wallace,"Little, Brown",18-12-1958,novela
library_book_82778_ef39bf97,A Tally of Types: With Additions by Several Hands ,0739428330,And With a New Introduction by Mike Parker,Stanley Morison,15-11-1963,égloga
library_book_83157_567bd72b,A Temporary New Wife,0440223571,Malcolm Goodway,AuthorsOmniscient Publishers,21-02-2001,cuento
library_book_82668_88a5d17c,A Thousand Acres (Ballantine Reader's Circle),0812523873,JANE SMILEY,Ballantine Books,28-01-2005,égloga
library_book_83960_0426884b,A Thousand Plateaus: Capitalism and Schizophrenia,0842342702,Gilles Deleuze,University of Minnesota Press,14-12-1984,crónica
library_book_83686_2642cd3a,A Thousand Words for Stranger (Daw Book Collectors),0440225701,Julie E. Czerneda,Daw Books,18-10-1947,ensayo
library_book_83040_163308c7,A Time to Kill,0060914068,JOHN GRISHAM,Dell,13-05-1967,carta
library_book_83486_5c92e809,A Tree Grows in Brooklyn,0156047624,Betty Smith,Perennial,14-10-1949,novela
library_book_84024_00d9e37c,A Venetian Affair,0245542957,ANDREA DI ROBILANT,Knopf,27-11-1973,novela
library_book_83508_fde0a893,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),0380715899,Bill Bryson,Broadway Books,26-07-1961,cuento
library_book_82564_06db8915,A Widow for One Year,0553280333,JOHN IRVING,Ballantine Books,27-12-1984,ensayo
library_book_82465_a6abba4f,A Year by the Sea: Thoughts of an Unfinished Woman,0961769947,Joan Anderson,Broadway Books,23-11-2002,égloga
library_book_83699_d7ecd38a,A Year in Provence,0964778319,Peter Mayle,Vintage Books USA,18-08-1947,cuento
