id,name
res_partner_163_bcf78c54,1stBooks Library
res_partner_1404_3c40277b,A'Lelia Bundles
res_partner_1071_22544956,A. C. Crispin
res_partner_692_9a037945,A. C. Gordon
res_partner_1759_32c1dbd3,A. J. Wood
res_partner_500_3c7e700c,A. Manette Ansay
res_partner_421_426859c0,A. S. Byatt
res_partner_1070_08796190,A.C. Crispin
res_partner_435_e1d5c85e,A.S. BYATT
res_partner_701_608db59a,AD HUDLER
res_partner_1203_53032336,AGATHA CHRISTIE
res_partner_383_2a0cf2c7,ALEXANDER MCCALL SMITH
res_partner_1658_1c2f0662,ALEXANDRE DUMAS
res_partner_1030_42dfe008,ALLAN ZOLA KRONZEK
res_partner_2050_c66c811b,ANDREA DI ROBILANT
res_partner_360_632219f4,ANN BRASHARES
res_partner_683_ed38f92e,ANNA QUINDLEN
res_partner_1495_1568af8e,ANNE FRANK
res_partner_1553_bcc0c815,ANNE MCCAFFREY
res_partner_816_0beb8b50,ANNE RICE
res_partner_1838_93285897,ANNE TYLER
res_partner_100_ea96a797,ARTHUR PHILLIPS
res_partner_1592_a24f3067,ARTURO PEREZ-REVERTE
res_partner_1014_0a0a6f6d,Abacus
res_partner_520_e1b3d7e8,Access Press (HarperCollins)
res_partner_173_142731a3,Ace Books
res_partner_2002_04f82e1c,Adam Brate
res_partner_1262_dd7a13ff,Adam Davies
res_partner_64_8edc918c,Adam Lebor
res_partner_1198_f1a18754,Adams Media Corp
res_partner_1677_a49d8c92, Address Withheld (Red Dress Ink (Paperback))
res_partner_768_284da3b3,Adele Lang
res_partner_687_f68aed78,Adeline Yen Mah
res_partner_1965_7eb29dde,Adrian Mitchell
res_partner_1448_474c4892,Adrian Plass
res_partner_1824_e4f7c675,Adriana Trigiani
res_partner_1761_bc1ec407,Advance Publishers LLC
res_partner_1972_001f2a09,Agatha Christie
res_partner_1050_c132105e,Akashic Books
res_partner_744_85d22539,Akiba Rubinstein
res_partner_391_07902e4d,Al Franken
res_partner_91_752e5d32,Aladdin
res_partner_1131_84d783af,Alain Stella
res_partner_1259_f234943a,Alain de Botton
res_partner_937_6aea34cc,Alain-Fournier
res_partner_1041_3cdc88e4,Alan Alexander Milne
res_partner_2048_642face4,Alan Cumming
res_partner_2051_15622610,Alan Epstein
res_partner_445_95aa234e,Alan Moore
res_partner_1036_dc088e32,Alan Spence
res_partner_1756_94de318d,Albert Camus
res_partner_863_0be99964,Albert Whitman &amp
res_partner_1747_43e6b65e,Aldous Huxley
res_partner_155_008448e5,Aleksandr Zinoviev
res_partner_1858_bde0760c,Alessandro Baricco
res_partner_1576_df2b6c25,Alexander McCall Smith
res_partner_942_4255db0d,Alexandra David-NÃƒ?Ã‚Â©el
res_partner_2033_562c551d,"Alfaguara Ediciones, S.A. (Spain)"
res_partner_760_8031d71c,Alfie Kohn
res_partner_108_900a5205,Alfred A. Knopf
res_partner_1293_58889d7c,Alfred H. Kelly
res_partner_1845_e4342a70,Alfred McBride
res_partner_271_4bd70ae6,Alianza
res_partner_1859_96004542,Alice Adams
res_partner_2085_9e691647,Alice Garrard
res_partner_883_f9c633b4,Alice Hoffman
res_partner_1188_209b3f20,Alice McDermott
res_partner_590_854fbabe,Alice Sebold
res_partner_1301_ba4fd063,Alice Walker
res_partner_917_c29a8712,Alisa Kwitney
res_partner_1836_76be6dae,Allen Ginsberg
res_partner_802_c48439f5,Allen Widome
res_partner_447_e10aaca7,Alpha Books
res_partner_1054_e75eff6a,Alyson Books
res_partner_1059_d1528f00,Alyson Publications
res_partner_1944_fadc272e,Amanda McKay
res_partner_1400_2aeb7008,Amanda Scott
res_partner_610_9c74f5c0,Amber-Allen Publishing
res_partner_1143_705dd5e2,Amereon Limited
res_partner_2045_0ffc2859,Amy Ephron
res_partner_1828_d240e103,Amy Hassinger
res_partner_52_a74a6fba,Amy Tan
res_partner_509_c89f5c01,Anagrama
res_partner_1881_b0a990cb,Anatoli Boukreev
res_partner_259_acc62ce7,Anchor
res_partner_1807_8741bde5,Anchor Books/Doubleday
res_partner_1152_7ff45165,Anchor Pub
